"Wo","CR","Freq","Qall"
"1",0.56440976,0.675,1.25,1.45
"2",0.78737526,0.51622868,1.25,1.45
"3",0.78737526,0.675,0.8169873,1.7
"4",0.78737526,0.675,1.25,1.45
"5",0.78737526,0.675,1.6830127,1.45
"6",0.78737526,0.83377132,1.25,1.45
"7",1.2157465,0.46198592,1.25,1.45
"8",1.2157465,0.51622868,0.8169873,1.7
"9",1.2157465,0.51622868,1.25,1.45
"10",1.2157465,0.51622868,1.6830127,1.45
"11",1.2157465,0.675,0.6690525,1.95
"12",1.2157465,0.675,0.8169873,1.7
"13",1.2157465,0.675,1.25,1.45
"14",1.2157465,0.675,1.6830127,1.45
"15",1.2157465,0.675,1.8309475,1.45
"16",1.2157465,0.83377132,0.8169873,1.7
"17",1.2157465,0.83377132,1.25,1.45
"18",1.2157465,0.83377132,1.6830127,1.45
"19",1.2157465,0.88801408,1.25,1.45
"20",2.1921162,0.43818751,1.25,1.45
"21",2.1921162,0.46198592,0.8169873,1.7
"22",2.1921162,0.46198592,1.25,1.45
"23",2.1921162,0.46198592,1.6830127,1.45
"24",2.1921162,0.51622868,0.6690525,1.95
"25",2.1921162,0.51622868,0.8169873,1.7
"26",2.1921162,0.51622868,1.25,1.45
"27",2.1921162,0.51622868,1.6830127,1.45
"28",2.1921162,0.51622868,1.8309475,1.45
"29",2.1921162,0.58150521,1.25,1.45
"30",2.1921162,0.675,0.60414777,1.95
"31",2.1921162,0.675,0.6690525,1.95
"32",2.1921162,0.675,0.8169873,1.7
"33",2.1921162,0.675,0.99501422,1.7
"34",2.1921162,0.675,1.25,1.45
"35",2.1921162,0.675,1.5049858,1.45
"36",2.1921162,0.675,1.6830127,1.45
"37",2.1921162,0.675,1.8309475,1.45
"38",2.1921162,0.675,1.8958522,1.45
"39",2.1921162,0.76849479,1.25,1.45
"40",2.1921162,0.83377132,0.6690525,1.95
"41",2.1921162,0.83377132,0.8169873,1.7
"42",2.1921162,0.83377132,1.25,1.45
"43",2.1921162,0.83377132,1.6830127,1.45
"44",2.1921162,0.83377132,1.8309475,1.45
"45",2.1921162,0.88801408,0.8169873,1.7
"46",2.1921162,0.88801408,1.25,1.45
"47",2.1921162,0.88801408,1.6830127,1.45
"48",2.1921162,0.91181249,1.25,1.45
"49",2.3845769,0.675,1.25,1.45
"50",3.3670938,0.51622868,1.25,1.45
"51",3.3670938,0.675,0.8169873,1.7
"52",3.3670938,0.675,1.25,1.45
"53",3.3670938,0.675,1.6830127,1.45
"54",3.3670938,0.83377132,1.25,1.45
"55",5.05,0.42580054,1.25,1.45
"56",5.05,0.43818751,0.8169873,1.7
"57",5.05,0.43818751,1.25,1.45
"58",5.05,0.43818751,1.6830127,1.45
"59",5.05,0.46198592,0.6690525,1.95
"60",5.05,0.46198592,0.8169873,1.7
"61",5.05,0.46198592,1.25,1.45
"62",5.05,0.46198592,1.6830127,1.45
"63",5.05,0.46198592,1.8309475,1.45
"64",5.05,0.51622868,0.60414777,1.95
"65",5.05,0.51622868,0.6690525,1.95
"66",5.05,0.51622868,0.8169873,1.7
"67",5.05,0.51622868,0.99501422,1.7
"68",5.05,0.51622868,1.25,1.45
"69",5.05,0.51622868,1.5049858,1.45
"70",5.05,0.51622868,1.6830127,1.45
"71",5.05,0.51622868,1.8309475,1.45
"72",5.05,0.51622868,1.8958522,1.45
"73",5.05,0.52692094,1.25,1.45
"74",5.05,0.58150521,0.8169873,2.35
"75",5.05,0.58150521,1.25,1.85
"76",5.05,0.58150521,1.6830127,1.8
"77",5.05,0.675,0.57036512,2.75
"78",5.05,0.675,0.60414777,2.7
"79",5.05,0.675,0.6690525,2.7
"80",5.05,0.675,0.8169873,2.2
"81",5.05,0.675,0.84614802,2.25
"82",5.05,0.675,0.99501422,2.25
"83",5.05,0.675,1.25,1.7
"84",5.05,0.675,1.5049858,1.7
"85",5.05,0.675,1.653852,1.7
"86",5.05,0.675,1.6830127,1.7
"87",5.05,0.675,1.8309475,1.65
"88",5.05,0.675,1.8958522,1.6
"89",5.05,0.675,1.9296349,1.45
"90",5.05,0.76849479,0.8169873,1.75
"91",5.05,0.76849479,1.25,1.45
"92",5.05,0.76849479,1.6830127,1.45
"93",5.05,0.82307906,1.25,1.45
"94",5.05,0.83377132,0.60414777,2.25
"95",5.05,0.83377132,0.6690525,1.95
"96",5.05,0.83377132,0.8169873,1.7
"97",5.05,0.83377132,0.99501422,1.7
"98",5.05,0.83377132,1.25,1.45
"99",5.05,0.83377132,1.5049858,1.45
"100",5.05,0.83377132,1.6830127,1.45
"101",5.05,0.83377132,1.8309475,1.45
"102",5.05,0.83377132,1.8958522,1.45
"103",5.05,0.88801408,0.6690525,1.95
"104",5.05,0.88801408,0.8169873,1.7
"105",5.05,0.88801408,1.25,1.45
"106",5.05,0.88801408,1.6830127,1.45
"107",5.05,0.88801408,1.8309475,1.45
"108",5.05,0.91181249,0.8169873,1.7
"109",5.05,0.91181249,1.25,1.45
"110",5.05,0.91181249,1.6830127,1.45
"111",5.05,0.92419946,1.25,1.45
"112",6.7329062,0.51622868,1.25,1.45
"113",6.7329062,0.675,0.8169873,1.7
"114",6.7329062,0.675,1.25,1.45
"115",6.7329062,0.675,1.6830127,1.45
"116",6.7329062,0.83377132,1.25,1.45
"117",7.7154231,0.675,1.25,1.45
"118",7.9078838,0.43818751,1.25,1.45
"119",7.9078838,0.46198592,0.8169873,1.7
"120",7.9078838,0.46198592,1.25,1.45
"121",7.9078838,0.46198592,1.6830127,1.45
"122",7.9078838,0.51622868,0.6690525,1.95
"123",7.9078838,0.51622868,0.8169873,1.7
"124",7.9078838,0.51622868,1.25,1.45
"125",7.9078838,0.51622868,1.6830127,1.45
"126",7.9078838,0.51622868,1.8309475,1.45
"127",7.9078838,0.58150521,1.25,1.45
"128",7.9078838,0.675,0.60414777,1.95
"129",7.9078838,0.675,0.6690525,1.95
"130",7.9078838,0.675,0.8169873,1.7
"131",7.9078838,0.675,0.99501422,1.7
"132",7.9078838,0.675,1.25,1.45
"133",7.9078838,0.675,1.5049858,1.45
"134",7.9078838,0.675,1.6830127,1.45
"135",7.9078838,0.675,1.8309475,1.45
"136",7.9078838,0.675,1.8958522,1.45
"137",7.9078838,0.76849479,1.25,1.45
"138",7.9078838,0.83377132,0.6690525,1.95
"139",7.9078838,0.83377132,0.8169873,1.7
"140",7.9078838,0.83377132,1.25,1.45
"141",7.9078838,0.83377132,1.6830127,1.45
"142",7.9078838,0.83377132,1.8309475,1.45
"143",7.9078838,0.88801408,0.8169873,1.7
"144",7.9078838,0.88801408,1.25,1.45
"145",7.9078838,0.88801408,1.6830127,1.45
"146",7.9078838,0.91181249,1.25,1.45
"147",8.8842535,0.46198592,1.25,1.45
"148",8.8842535,0.51622868,0.8169873,1.7
"149",8.8842535,0.51622868,1.25,1.45
"150",8.8842535,0.51622868,1.6830127,1.45
"151",8.8842535,0.675,0.6690525,1.95
"152",8.8842535,0.675,0.8169873,1.7
"153",8.8842535,0.675,1.25,1.45
"154",8.8842535,0.675,1.6830127,1.45
"155",8.8842535,0.675,1.8309475,1.45
"156",8.8842535,0.83377132,0.8169873,1.7
"157",8.8842535,0.83377132,1.25,1.45
"158",8.8842535,0.83377132,1.6830127,1.45
"159",8.8842535,0.88801408,1.25,1.45
"160",9.3126247,0.51622868,1.25,1.45
"161",9.3126247,0.675,0.8169873,1.7
"162",9.3126247,0.675,1.25,1.45
"163",9.3126247,0.675,1.6830127,1.45
"164",9.3126247,0.83377132,1.25,1.45
"165",9.5355902,0.675,1.25,1.45
