"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
1,0.56440976,0.675,1.25,0.0520284440361325,0.191490545868874,0.0215358125798926,0.189884439110756,0.0311588486414761,0.142215564846992,0.0155392263107317,0.141126558184624,0.0531319710942849,0.177103847265244,0.0256384252218835,0.17559140920639,9888.83095762987,34528.1796875,-8661.80421633835,11391.8369140625,-0.0344648510217667
2,0.78737526,0.51622868,1.25,0.0382398284028825,0.13161613047123,0.00485586951880476,0.130490854382515,0.023784811812444,0.0953427478671074,0.00471246025903943,0.0945377200841904,0.0388710040241016,0.127214819192886,0.00964871305555675,0.126097410917282,1601.73386359215,20833.220703125,-1005.91630182423,16702.73828125,-0.0315596908330917
3,0.78737526,0.675,0.8169873,0.0274016051089054,0.122697345912456,0.0238666067196154,0.120795160531998,0.0201114587531516,0.112324357032776,0.0170532632999138,0.111929230391979,0.0284417510006844,0.114511393010616,0.0251661069030757,0.113437093794346,3617.79909587846,13532.5654296875,-3335.67827497359,701.126098632812,-0.00150786340236669
4,0.78737526,0.675,1.25,0.0526888840954948,0.190042331814766,0.0210506691344671,0.188453003764152,0.0317641867714253,0.143056929111481,0.0153342834681937,0.141975596547127,0.0544397815029901,0.181883066892624,0.0256336515489789,0.180270716547966,5562.61631620491,29122.833984375,-4034.6989761706,17246.140625,-0.0382951200008392
5,0.78737526,0.675,1.6830127,0.0427103375030471,0.172277987003326,0.0278678013695574,0.169444769620895,0.0302484947436684,0.150891587138176,0.0205814978237098,0.150069922208786,0.0422757732917215,0.171627745032311,0.0278219895917623,0.169766709208488,7717.27996752812,26734.04296875,-7576.44894510685,3225.77685546875,-0.0196967869997025
6,0.78737526,0.83377132,1.25,0.0867676883278516,0.339722186326981,0.0783401168156339,0.336873769760132,0.0682619304649192,0.295875400304794,0.0603177569606487,0.294302105903625,0.0874525982910722,0.319908499717712,0.0845812121877737,0.314262717962265,18562.6497767507,49795.80859375,-17040.1209982925,5774.642578125,-0.0199606120586395
7,1.2157465,0.46198592,1.25,0.0349330672523868,0.116423532366753,0.00340753183825608,0.115423865616322,0.0217571752768261,0.0851394012570381,0.00318571032348481,0.0842983201146126,0.0362771114655412,0.114963099360466,0.00653585877555909,0.114017672836781,809.45166060685,17679.849609375,-112.399266140881,16436.494140625,-0.0297193527221679
8,1.2157465,0.51622868,0.8169873,0.00969101042087485,0.03761425614357,0.00658450511529124,0.0368248894810677,0.00772026882886196,0.0386018194258213,0.00533161168099644,0.0385139659047127,0.009555045973252,0.0370950326323509,0.00747132280272468,0.0365539230406284,428.208513739899,3907.23510742188,-407.028784990983,1087.13916015625,0.00196004286408424
9,1.2157465,0.51622868,1.25,0.0392638745702904,0.13163049519062,0.00521649469016129,0.130485519766808,0.0241626912338408,0.0965426117181778,0.00473550871247819,0.0956272184848785,0.0409474207505201,0.13001374900341,0.00954619227832172,0.128948330879211,1043.3054040836,19634.935546875,-340.817465964598,17887.302734375,-0.0333211123943329
10,1.2157465,0.51622868,1.6830127,0.0156751356380016,0.0611239224672318,0.00896588060606876,0.0599826760590076,0.0119964810199095,0.0578429810702801,0.00700922396857865,0.0576132051646709,0.014434662679674,0.0486525930464268,0.00862576372440627,0.0478060878813267,1028.7463070144,5724.12060546875,-1026.9609171965,482.330902099609,0.00980711728334425
11,1.2157465,0.675,0.6690525,0.0392972693727091,0.144964173436165,0.0247254626092554,0.142088279128075,0.026625286539719,0.124546304345131,0.0167906492262571,0.124545380473137,0.0355246092251976,0.137731924653053,0.0243492481908023,0.137331262230873,2568.26755487183,26844.076171875,104.787713479164,20532.83984375,-0.0127858817577362
12,1.2157465,0.675,0.8169873,0.0267558583961722,0.118521675467491,0.023356060571453,0.116497606039047,0.0198123064942446,0.110368259251118,0.0165669278126452,0.110064253211021,0.0277959592686851,0.117978222668171,0.0247770225536894,0.117136940360069,1630.10323926185,7372.03271484375,-1321.31078865195,777.006774902344,-0.00707268714904791
13,1.2157465,0.675,1.25,0.05317990593316,0.190393999218941,0.0209099828310864,0.188869044184685,0.0324556167331488,0.143972977995872,0.0152222200904851,0.142811447381973,0.0552308879984316,0.187068596482277,0.025641902637219,0.185433954000473,2858.60585497289,25742.708984375,-1281.03054636123,20732.18359375,-0.0426225066184997
14,1.2157465,0.675,1.6830127,0.0388020727022132,0.16572567820549,0.0285773486595215,0.163174778223038,0.0294449334445324,0.147134110331535,0.020563326406409,0.146515011787415,0.041814692061305,0.146115392446518,0.029746439288416,0.144072502851486,3641.80482359014,13004.5234375,-3532.11280534699,812.824340820312,0.0024425089359284
15,1.2157465,0.675,1.8309475,0.038978332912218,0.162381574511528,0.0263622969281249,0.160587683320045,0.0281661985257345,0.143796533346176,0.0184807024757342,0.143072545528412,0.0503540743719632,0.20340096950531,0.0240275283640293,0.201527178287506,3601.00352151985,6084.5078125,-3636.04839768629,10278.8818359375,-0.0584546327590942
16,1.2157465,0.83377132,0.8169873,0.0924215289667628,0.42970997095108,0.0869470010007378,0.421680241823196,0.0719993762120383,0.417821198701859,0.0662433328400854,0.416433900594711,0.0940620517838269,0.426465064287186,0.08810118547308,0.417778670787811,5884.23098938098,22932.857421875,-5605.66264985655,847.567443847656,-0.00134477019309998
17,1.2157465,0.83377132,1.25,0.0879854908890972,0.339417189359665,0.0785706073910004,0.336082458496094,0.0688389591951049,0.288223922252655,0.0603608575082734,0.286536633968353,0.0868965396190645,0.338446021080017,0.0829819706879069,0.334342181682587,8751.27583066841,36747.046875,-7387.70190711598,18376.33984375,-0.0478055477142334
18,1.2157465,0.83377132,1.6830127,0.110181150497567,0.472690343856812,0.0892277705887452,0.463968932628632,0.0846992093521224,0.459222197532654,0.0694490146665955,0.457535415887833,0.11192775684772,0.444675326347351,0.0875879971039621,0.436015844345093,10872.6974190606,39416.39453125,-11313.6824390058,3695.29272460938,0.0215195715427398
19,1.2157465,0.88801408,1.25,0.135843662969871,0.466318488121033,0.126720976460213,0.45848137140274,0.108028157658723,0.41699692606926,0.0990120915878239,0.414979845285416,0.135397833388439,0.459710687398911,0.131989300551353,0.451255679130554,14505.0975376145,44211.24609375,-12639.4829732714,14947.732421875,-0.0362758338451386
20,2.1921162,0.43818751,1.25,0.0351419396371119,0.103765390813351,0.00233363706416624,0.103016957640648,0.0227830631376352,0.0815330967307091,0.00264855020008886,0.0799151957035065,0.0367773203954779,0.10919488966465,0.00644994989257995,0.108834683895111,611.898424513393,16549.7421875,333.659205371915,16228.53515625,-0.0289194881916046
21,2.1921162,0.46198592,0.8169873,0.00999272032091918,0.0325520820915699,0.00483196157220784,0.0317514836788177,0.00774041077851096,0.0349425338208675,0.00376614685185121,0.034924678504467,0.00789400039233224,0.030725996941328,0.00524207453447184,0.0305305439978838,152.295694741617,2606.96337890625,-2.81996506392889,1924.98937988281,0.00439413450658321
22,2.1921162,0.46198592,1.25,0.0372847817345293,0.109609082341194,0.00267933862916681,0.108768507838249,0.0238758303511601,0.0862761065363884,0.00320137191441658,0.0845769047737122,0.0384865453487607,0.114582933485508,0.00649792209550569,0.114173345267773,591.843246630623,17342.90625,321.085762385156,16981.796875,-0.0295964404940605
23,2.1921162,0.46198592,1.6830127,0.0153730014781087,0.0493045412003994,0.00682124680210363,0.0491104982793331,0.0115268226312205,0.0489638857543468,0.00505876236487753,0.048821534961462,0.0124368763204394,0.0415174067020416,0.00686354461221724,0.0410077273845673,299.924351514041,2674.453125,-177.714150146323,785.949584960938,0.00781380757689476
24,2.1921162,0.51622868,0.6690525,0.0318803292135477,0.0842914655804634,0.00778593945656124,0.0817839056253433,0.0233084173666106,0.0718989446759224,0.00575878828508899,0.071744903922081,0.0257377383993052,0.074165977537632,0.00876465287355702,0.0741081237792969,1056.88373776424,19473.220703125,797.424193405564,18719.904296875,-0.00236321985721588
25,2.1921162,0.51622868,0.8169873,0.012356864232341,0.0415414497256279,0.00692983880062587,0.0414166152477264,0.00938310378462061,0.0444542430341244,0.00531493408033991,0.0444195680320263,0.0103706403589111,0.0410411357879639,0.00743262115942908,0.0407024994492531,205.190796823057,2964.01489257812,-30.5139593911878,2030.97119140625,0.00371706858277321
26,2.1921162,0.51622868,1.25,0.0419203425980645,0.124881468713283,0.00544427888540859,0.123754695057869,0.0264062257913443,0.09734957665205,0.0048115087462485,0.0954785794019699,0.0427080156353608,0.129819080233574,0.00947064937274466,0.129369184374809,1014.28454694032,19138.384765625,617.326741432532,18617.205078125,-0.0338906049728394
27,2.1921162,0.51622868,1.6830127,0.0189152829161607,0.0653069838881493,0.0103977958176743,0.0650441497564316,0.0140928521797692,0.0632646232843399,0.00714740797687297,0.0630822479724884,0.0163365438397811,0.055478785187006,0.0101885480447508,0.0548120513558388,439.577670610868,3204.59350585938,-279.999561279245,652.53662109375,0.00827019661664962
28,2.1921162,0.51622868,1.8309475,0.0203880127832306,0.0714000388979912,0.0101344357812845,0.0710269957780838,0.0139771940484934,0.0578113049268723,0.0061832863048319,0.0573022104799747,0.0317534321190267,0.104382127523422,0.00807610665624251,0.103371627628803,262.626800190107,6128.6884765625,-402.75312541871,6943.07666015625,-0.0460694171488285
29,2.1921162,0.58150521,1.25,0.0476447213510784,0.145440444350243,0.00974722121181873,0.144049152731895,0.0294891657155509,0.112536706030369,0.00770269553504477,0.110549941658974,0.0484789858773708,0.151001274585724,0.0143101055173197,0.150434240698814,1055.32283850596,21249.609375,425.149436351116,20435.275390625,-0.0398842990398407
30,2.1921162,0.675,0.60414777,0.0603170216655106,0.231216281652451,0.0250231644961576,0.224456414580345,0.0442182810905959,0.210767239332199,0.0185324477005148,0.210483983159065,0.0442768486476751,0.152344331145287,0.0167469973434133,0.141624480485916,906.94431734842,31946.0234375,277.791107096487,30319.234375,0.0688595026731491
31,2.1921162,0.675,0.6690525,0.0451687316527878,0.146510884165764,0.0211899558203547,0.139769673347473,0.0335466040515005,0.133941993117332,0.0161246051541336,0.132881447672844,0.0356443937567975,0.115346543490887,0.0214456593229612,0.115343824028969,1432.80182133192,25192.662109375,720.494527033008,23196.001953125,0.0175376236438751
32,2.1921162,0.675,0.8169873,0.0280241534174856,0.118864446878433,0.0234594209471214,0.116514571011066,0.0203148307076434,0.111980974674225,0.0162292405200032,0.111839912831783,0.0273136292940845,0.119606874883175,0.0238875917245461,0.118873588740826,675.597519064462,4521.35205078125,-232.110832492331,1751.61511230469,-0.0070336759090424
33,2.1921162,0.675,0.99501422,0.0296783980073458,0.122232317924499,0.018419473554898,0.121899701654911,0.0225542076973192,0.104163743555546,0.0133757653356776,0.104015931487083,0.0379034451503421,0.139171734452248,0.0211760395326669,0.137126088142395,823.338979485702,13802.9794921875,-163.41914444635,14032.943359375,-0.0331101566553116
34,2.1921162,0.675,1.25,0.0530452187846223,0.179680839180946,0.0208477182325327,0.177409112453461,0.0350395498089851,0.143134161829948,0.0151903035144222,0.141092047095299,0.0519690721806351,0.17691470682621,0.0229169892457833,0.174398556351662,1822.39462315819,24164.951171875,541.971904054543,22613.0546875,-0.0333065092563629
35,2.1921162,0.675,1.5049858,0.0523186293226118,0.187949031591415,0.0253382811515066,0.183800414204598,0.036178753637852,0.16629895567894,0.018331073446811,0.165962189435959,0.0430648402009395,0.174869611859322,0.0247164781380238,0.17417661845684,446.106570136124,17687.625,-1250.54022062658,12512.3076171875,-0.0082144290208816
36,2.1921162,0.675,1.6830127,0.041432772542476,0.156378477811813,0.030921537817629,0.153792172670364,0.0306112635318781,0.145732060074806,0.0204164231485965,0.145216390490532,0.0423618958706708,0.155274510383606,0.0309540381206572,0.153657868504524,1289.83058094076,5874.37255859375,-1059.33975227249,235.972366333008,-0.00844147801399231
37,2.1921162,0.675,1.8309475,0.0401198531976278,0.163234055042267,0.0265033545379744,0.161687016487122,0.0298474103435113,0.143282353878021,0.0181709325367242,0.142420709133148,0.0470015626501806,0.176318928599358,0.0225579900662946,0.172696128487587,1005.34230303852,7251.6806640625,-1151.50472689982,8947.8154296875,-0.0302754193544388
38,2.1921162,0.675,1.8958522,0.0452544712490493,0.175190135836601,0.0258732412733061,0.173492297530174,0.0318144026839246,0.150448545813561,0.0172624744107452,0.148967936635017,0.050083826430037,0.197851985692978,0.0211196475451248,0.193935409188271,1086.55882694091,11044.3564453125,-993.299755106915,12193.203125,-0.0449674725532532
39,2.1921162,0.76849479,1.25,0.0651281139935891,0.244536995887756,0.0429432369947869,0.24134236574173,0.0461386115988716,0.201233386993408,0.0323123015082204,0.198998436331749,0.0630446430296565,0.239834174513817,0.0470069564567642,0.23597739636898,2613.83854247556,27267.8515625,-216.455790663809,24107.033203125,-0.0369789600372314
40,2.1921162,0.83377132,0.6690525,0.096916100356288,0.433516591787338,0.0802881527500231,0.422816395759583,0.0774271932912395,0.407548695802689,0.0631037820415966,0.407547533512115,0.0923344180442416,0.357747107744217,0.0811619874971074,0.353300660848618,2614.30638270159,32164.359375,-387.385851639829,24060.8203125,0.0542468726634979
41,2.1921162,0.83377132,0.8169873,0.0990211334255513,0.463686794042587,0.0936326867316482,0.456563264131546,0.0727752799176209,0.429946035146713,0.0670159428491095,0.428698986768722,0.0994011753481696,0.462712615728378,0.0940441942881254,0.457091480493545,2279.25708270232,10138.759765625,-1812.81593799104,1245.322265625,-0.028392493724823
42,2.1921162,0.83377132,1.25,0.0883355483704349,0.335129886865616,0.0771009163431805,0.330368846654892,0.069576171576941,0.285156577825546,0.0594007980420709,0.282614588737488,0.0855009952233209,0.331076830625534,0.0804255195088754,0.324958324432373,3766.99996880435,29991.71484375,-1470.23105805916,24583.078125,-0.0423437356948852
