"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
1,0.56440976,0.675,1.25,0.060637968789605,0.23518431186676,0.0461590414119119,0.233228966593742,0.0404980943115124,0.186676755547523,0.0331397308474991,0.185397550463677,0.0626160293173981,0.238275825977325,0.0523556246137019,0.236306369304657,7598.98274187714,31289.96484375,-6074.06362666484,14864.0693359375,-0.0509088188409805
2,0.78737526,0.51622868,1.25,0.0402068199494577,0.149750366806984,0.0150306183896669,0.148468047380447,0.0253241071658872,0.112575173377991,0.0120005623424312,0.11167997866869,0.0414849707769277,0.150820076465607,0.0186381733948964,0.149526104331017,1302.10961343284,20443.359375,-1136.04351923165,17023.7734375,-0.0378461256623268
3,0.78737526,0.675,0.8169873,0.0556778389964557,0.239618882536888,0.050068724308377,0.23678620159626,0.0407467777038091,0.223162963986397,0.0359300217630888,0.22219406068325,0.0585114864350947,0.235265716910362,0.0528265272665282,0.233054876327515,2630.60723047017,10359.5634765625,-2384.39187479527,630.455932617188,-0.0108608156442642
4,0.78737526,0.675,1.25,0.0612149163743252,0.236796841025353,0.0461771752278615,0.23471263051033,0.0410893836139271,0.187711507081986,0.0332960282568313,0.18639075756073,0.0619539853865573,0.240397617220879,0.0514436077530762,0.238308802247047,4333.53398848567,27355.419921875,-2969.20298401866,19102.767578125,-0.0519180446863174
5,0.78737526,0.675,1.6830127,0.074668747077907,0.290657311677933,0.0578668968208238,0.286775529384613,0.054462822075584,0.268448442220688,0.0414035682190913,0.266923159360886,0.078566863835324,0.284065306186676,0.0597650675286922,0.280987411737442,5861.19690357926,20126.18359375,-5778.14232463139,2273.97924804688,-0.0140642523765564
6,0.78737526,0.83377132,1.25,0.127117188208726,0.43091231584549,0.119174398651043,0.423472285270691,0.099628921592823,0.382605880498886,0.0912244373909534,0.380388289690018,0.128663498425073,0.434010714292526,0.126076482481012,0.430345803499222,10256.5803048154,37129.89453125,-8089.68147900784,17253.7109375,-0.0499575138092041
7,1.2157465,0.46198592,1.25,0.036194095641594,0.130485758185387,0.0108088512580198,0.129365235567093,0.0227268805771018,0.098245345056057,0.00846395883008881,0.0973347872495651,0.0388155019714657,0.131977200508118,0.0145917870152838,0.131091088056564,858.41631957048,17584.75390625,100.474908802725,16568.65625,-0.0337563008069992
8,1.2157465,0.51622868,0.8169873,0.0211529088013137,0.0898547321557999,0.0168466361547874,0.0882022455334663,0.016902074747885,0.0892394036054611,0.0132557648562192,0.088940255343914,0.0223765054941351,0.0951944962143898,0.0181557458711315,0.0946782156825066,359.630187817372,3681.53564453125,-312.033859892066,1349.59020996094,-0.00573796033859253
9,1.2157465,0.51622868,1.25,0.0409767246107324,0.150954484939575,0.015439233843581,0.149576529860496,0.0256918498214173,0.11466957628727,0.0120956907909623,0.113651461899281,0.0436204530773207,0.152909278869629,0.0200695163606349,0.151658520102501,942.078672812026,19480.978515625,-201.667649690236,18045.076171875,-0.0380070582032204
10,1.2157465,0.51622868,1.6830127,0.0324517351273399,0.123248368501663,0.0226195508460324,0.120953716337681,0.0251577979548109,0.119674079120159,0.0164743058857382,0.119144111871719,0.0338396923676993,0.124955527484417,0.0222254108418652,0.124013774096966,965.866851920755,5053.7666015625,-887.30744581377,435.328216552734,-0.0048696622252464
