"Wo","CR","Freq","Qall"
"1",0.56440976,0.675,1.25,0.0146308722825696
"2",0.78737526,0.51622868,1.25,0.00660811208393659
"3",0.78737526,0.675,0.8169873,0.0174062550895977
"4",0.78737526,0.675,1.25,0.0146694085886208
"5",0.78737526,0.675,1.6830127,0.0229442772485754
"6",0.78737526,0.83377132,1.25,0.0300452693673384
"7",1.2157465,0.46198592,1.25,0.0053968052974889
"8",1.2157465,0.51622868,0.8169873,0.00789964266443726
"9",1.2157465,0.51622868,1.25,0.00664907371893305
"10",1.2157465,0.51622868,1.6830127,0.0111381102107493
"11",1.2157465,0.675,0.6690525,0.0166231014088679
"12",1.2157465,0.675,0.8169873,0.0170798574775352
"13",1.2157465,0.675,1.25,0.0147843036571879
"14",1.2157465,0.675,1.6830127,0.0229213472776128
"15",1.2157465,0.675,1.8309475,0.0224879877759226
"16",1.2157465,0.83377132,0.8169873,0.0332484669070383
"17",1.2157465,0.83377132,1.25,0.0301209079969887
"18",1.2157465,0.83377132,1.6830127,0.0419303248929032
"19",1.2157465,0.88801408,1.25,0.036027179855143
"20",2.1921162,0.43818751,1.25,0.00528104914873204
"21",2.1921162,0.46198592,0.8169873,0.00545871788767652
"22",2.1921162,0.46198592,1.25,0.00570705347138356
"23",2.1921162,0.46198592,1.6830127,0.00751631367544535
"24",2.1921162,0.51622868,0.6690525,0.00822920646491642
"25",2.1921162,0.51622868,0.8169873,0.00706145408707289
"26",2.1921162,0.51622868,1.25,0.00694415175442671
"27",2.1921162,0.51622868,1.6830127,0.00965730400004434
"28",2.1921162,0.51622868,1.8309475,0.00694415175442671
"29",2.1921162,0.58150521,1.25,0.00927742161391925
"30",2.1921162,0.675,0.60414777,0.0169913846308501
"31",2.1921162,0.675,0.6690525,0.0161348363538847
"32",2.1921162,0.675,0.8169873,0.0155013292753641
"33",2.1921162,0.675,0.99501422,0.0135926044632826
"34",2.1921162,0.675,1.25,0.0149680258692676
"35",2.1921162,0.675,1.5049858,0.016548492394973
"36",2.1921162,0.675,1.6830127,0.020410654867183
"37",2.1921162,0.675,1.8309475,0.0210288886788742
"38",2.1921162,0.675,1.8958522,0.0201618324975413
"39",2.1921162,0.76849479,1.25,0.0233272678653642
"40",2.1921162,0.83377132,0.6690525,0.0310820991004534
"41",2.1921162,0.83377132,0.8169873,0.0320847362861042
"42",2.1921162,0.83377132,1.25,0.0303155481648187
"43",2.1921162,0.83377132,1.6830127,0.0413689497243456
"44",2.1921162,0.83377132,1.8309475,0.0403558329582074
"45",2.1921162,0.88801408,0.8169873,0.0384788653995971
"46",2.1921162,0.88801408,1.25,0.0361214304433484
"47",2.1921162,0.88801408,1.6830127,0.0491460169263846
"48",2.1921162,0.91181249,1.25,0.0384996867322623
"49",2.3845769,0.675,1.25,0.0149796563425477
"50",3.3670938,0.51622868,1.25,0.00750199702071899
"51",3.3670938,0.675,0.8169873,0.0142376133780828
"52",3.3670938,0.675,1.25,0.0149035670792145
"53",3.3670938,0.675,1.6830127,0.0181419112452907
"54",3.3670938,0.83377132,1.25,0.0307627795639378
"55",5.05,0.42580054,1.25,0.00646792469812861
"56",5.05,0.43818751,0.8169873,0.00431087706972978
"57",5.05,0.43818751,1.25,0.00669284800532894
"58",5.05,0.43818751,1.6830127,0.0059845880907128
"59",5.05,0.46198592,0.6690525,0.0102424991076193
"60",5.05,0.46198592,0.8169873,0.00473954655357321
"61",5.05,0.46198592,1.25,0.00713329541222366
"62",5.05,0.46198592,1.6830127,0.00661993075414044
"63",5.05,0.46198592,1.8309475,0.00693927740724773
"64",5.05,0.51622868,0.60414777,0.0155471326562161
"65",5.05,0.51622868,0.6690525,0.0116968824570232
"66",5.05,0.51622868,0.8169873,0.00595217301258315
"67",5.05,0.51622868,0.99501422,0.00627363000890812
"68",5.05,0.51622868,1.25,0.00824677531495958
"69",5.05,0.51622868,1.5049858,0.00798524340315404
"70",5.05,0.51622868,1.6830127,0.00837222973376716
"71",5.05,0.51622868,1.8309475,0.00879012864542435
"72",5.05,0.51622868,1.8958522,0.0089187381615434
"73",5.05,0.52692094,1.25,0.0085107014476281
"74",5.05,0.58150521,0.8169873,0.00802069386664946
"75",5.05,0.58150521,1.25,0.0101149439895561
"76",5.05,0.58150521,1.6830127,0.0116052780858203
"77",5.05,0.675,0.57036512,0.0214625078807724
"78",5.05,0.675,0.60414777,0.0207668618735269
"79",5.05,0.675,0.6690525,0.0177801407505671
"80",5.05,0.675,0.8169873,0.0130299062164024
"81",5.05,0.675,0.84614802,0.0127353751473467
"82",5.05,0.675,0.99501422,0.0129642289198535
"83",5.05,0.675,1.25,0.0145839223722767
"84",5.05,0.675,1.5049858,0.016339776944295
"85",5.05,0.675,1.653852,0.0177194683004295
"86",5.05,0.675,1.6830127,0.0179026584730487
"87",5.05,0.675,1.8309475,0.0180318053196102
"88",5.05,0.675,1.8958522,0.0177568922878866
"89",5.05,0.675,1.9296349,0.0175608589847523
