"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
1,0.56440976,0.675,1.25,0.0752386152692934,0.277700573205948,0.0694001743862221,0.273195147514343,0.0618254978839318,0.240137308835983,0.0550130980206716,0.238673493266106,0.0754593407312737,0.289674282073975,0.0733230462638575,0.284926116466522,4284.37904920765,28371.65234375,-3291.46772747654,19368.87109375,-0.0462526232004165
2,0.78737526,0.51622868,1.25,0.0439369201165147,0.178353443741798,0.0306504300002462,0.17683944106102,0.0327658077387287,0.145260602235794,0.0258458524545899,0.145118072628975,0.0443172314006051,0.175898477435112,0.031792561085322,0.173068910837173,1426.07081692072,20495.837890625,-901.379468248082,16957.4921875,-0.0279508382081986
3,0.78737526,0.675,0.8169873,0.0748088106949761,0.359077632427216,0.0641507436217275,0.352545022964477,0.0702331794402414,0.353007018566132,0.0598043720199353,0.351374715566635,0.0682259693553329,0.372408002614975,0.0577751319061601,0.368883907794952,980.07575855102,7418.0966796875,-1277.26351507202,669.073974609375,-0.0175091922283173
4,0.78737526,0.675,1.25,0.0836556360276727,0.291858553886414,0.0774080794022011,0.289373070001602,0.0782875146964053,0.253329485654831,0.0743133452736059,0.253206223249435,0.0775170780339423,0.290537744760513,0.0753828374453299,0.285728603601456,2901.62205369065,26195.43359375,-1387.63941389515,21692.51953125,-0.0325223803520203
5,0.78737526,0.675,1.6830127,0.111317797018008,0.480425149202347,0.0852223793679288,0.474325150251388,0.0972703083165119,0.47463995218277,0.0724491123061436,0.474466472864151,0.118340268904816,0.470891356468201,0.0912088784955744,0.465216428041458,3124.99854235723,13558.759765625,-3292.18177481083,1418.84240722656,0.00925004482269293
6,0.78737526,0.83377132,1.25,0.164361036941213,0.494057714939117,0.156421277539124,0.49016860127449,0.13973323784414,0.449027866125107,0.132236341169328,0.448706150054932,0.157146118361968,0.488869309425354,0.15392064642402,0.480568885803223,4933.34251213074,31421.73046875,-2886.96863200853,24373.5703125,-0.0318627357482911
7,1.2157465,0.46198592,1.25,0.0359321289500918,0.144544467329979,0.0217500540826695,0.142305225133896,0.0255378424638526,0.117130644619465,0.0173803303399551,0.11616026610136,0.0382124653942317,0.158166602253914,0.0236414877541788,0.157150402665138,709.729077830034,17980.078125,-85.485697109733,17239.65625,-0.0409901365637779
8,1.2157465,0.51622868,0.8169873,0.0324692561641328,0.163976833224297,0.0259817941793111,0.16097030043602,0.0257557470926194,0.162133008241653,0.0197138591910906,0.161472782492638,0.0323734661956315,0.177363902330399,0.0250703466861819,0.176233530044556,108.85878928024,3428.5126953125,-310.124558322848,1773.91735839844,-0.0147607475519181
9,1.2157465,0.51622868,1.25,0.0416167379169132,0.170615464448929,0.0294027263913904,0.167942464351654,0.0308691358862573,0.139770314097405,0.0237611907788817,0.138666659593582,0.0424178356529068,0.188292160630226,0.0313363910041452,0.187057659029961,878.070981277601,19847.791015625,-362.61227180008,18912.5859375,-0.0483909994363784
10,1.2157465,0.51622868,1.6830127,0.0508862877298009,0.217384859919548,0.0367694925220505,0.213697254657745,0.0425687095394935,0.214600816369057,0.0298521800989338,0.213501021265984,0.0599657494353241,0.221133172512054,0.0412838574202367,0.21729938685894,618.051964879131,4259.65087890625,-645.852287996127,142.050018310547,-0.00379836559295649
11,1.2157465,0.675,0.6690525,0.0629269082579331,0.351288557052612,0.0543974495374257,0.34638249874115,0.0546808850105333,0.341099888086319,0.0471045137511649,0.340981870889664,0.0829348497732989,0.345028728246689,0.0686103732577767,0.340200543403625,-1389.77590779163,25801.9609375,-2588.82623923791,22999.533203125,0.000781327486038208
12,1.2157465,0.675,0.8169873,0.0687770764153389,0.353987157344818,0.0601677770711161,0.347633183002472,0.0591151168163029,0.347447276115417,0.0504127191905536,0.345922023057938,0.0667198615419082,0.372346669435501,0.0576158955412405,0.369428902864456,288.840973257351,5019.4140625,-608.92735362862,1459.94653320312,-0.0235068798065186
